SYMBOL,SERIES
RAJESHEXPO,EQ
RAJPALAYAM,EQ
RAJRAYON,EQ
RAJSREESUG,EQ
RAJTV,EQ
RALLIS,EQ
RAMANEWS,EQ
RAMCOCEM,EQ
RAMCOIND,EQ
RAMCOSYS,EQ
RAMSARUP,EQ
RANASUG,EQ
RANBAXY,EQ
RANEENGINE,EQ
RANEHOLDIN,EQ
RANKLIN,EQ
RASOYPR,EQ
RATNAMANI,EQ
RAYMOND,EQ
RCF,EQ
RCOM,EQ
RECLTD,EQ
REDINGTON,EQ
REGENCERAM,EQ
REIAGROLTD,EQ
RELAXO,EQ
RELBANK,EQ
RELCAPITAL,EQ
RELCNX100,EQ
RELGOLD,EQ
RELGRNIFTY,EQ
RELIANCE,EQ
RELIGARE,EQ
RELIGAREGO,EQ
RELINFRA,EQ
RELMEDIA,EQ
RENUKA,EQ
REPCOHOME,EQ
REPRO,EQ
RESPONIND,EQ
REVATHI,EQ
RICOAUTO,EQ
RIIL,EQ
RJL,EQ
RKDL,EQ
RKFORGE,EQ
RML,EQ
ROHITFERRO,EQ
ROHLTD,EQ
ROLTA,EQ
ROSSELLIND,EQ
RPGLIFE,EQ
RPOWER,EQ
RPPINFRA,EQ
RSSOFTWARE,EQ
RSWM,EQ
RSYSTEMS,EQ
RUBYMILLS,EQ
RUCHINFRA,EQ
RUCHISOYA,EQ
RUPA,EQ
RUSHIL,EQ
SABERORGAN,EQ
SABTN,EQ
SADBHAV,EQ
SAHPETRO,EQ
SAIL,EQ
SAKHTISUG,EQ
SAKSOFT,EQ
SAKUMA,EQ
SANDESH,EQ
SANGAMIND,EQ
SANGHIIND,EQ
SANGHVIMOV,EQ
SANOFI,EQ
SANWARIA,EQ
SARDAEN,EQ
SAREGAMA,EQ
SASKEN,EQ
SATHAISPAT,EQ
SAVERA,EQ
SBBJ,EQ
SBIGETS,EQ
SBIN,EQ
SBT,EQ
SCHNEIDER,EQ
SCI,EQ
SEAMECLTD,EQ
SEINV,EQ
SELAN,EQ
SELMCL,EQ
SERVALL,EQ
SESHAPAPER,EQ
SEZAL,EQ
SFCL,EQ
SGJHL,EQ
SHAKTIPUMP,EQ
SHALPAINTS,EQ
SHANTIGEAR,EQ
SHARIABEES,EQ
SHARONBIO,EQ
SHARRESLTD,EQ
SHASUNPHAR,EQ
SHILPAMED,EQ
SHILPI,EQ
SHIRPUR-G,EQ
SHIVAMAUTO,EQ
SHOPERSTOP,EQ
SHREECEM,EQ
SHREERAMA,EQ
SHRENUJ,EQ
SHREYAS,EQ
SHRIRAMCIT,EQ
SHRIRAMEPC,EQ
SICAGEN,EQ
SICAL,EQ
SIEMENS,EQ
SIGNETIND,EQ
SIMBHSUGAR,EQ
SIMPLEX,EQ
SIMPLEXINF,EQ
SINTEX,EQ
